,City,Country,Clouds,Date,Humidity,Lat,Lng,Max Temp,Wind
0,Nanortalik,GL,24,1553654072,100,60.14,-45.24,24.7,18.28
1,Mangochi,MW,0,1553654166,97,-14.48,35.26,66.46,4.29
2,Puerto Ayora,EC,0,1553652971,90,-0.74,-90.35,79,5.01
4,Barrow,AR,0,1553654061,91,-38.31,-60.23,47.2,8.1
5,Mahebourg,MU,40,1553652000,88,-20.41,57.7,78.8,1.12
6,Mar del Plata,AR,0,1553654000,53,-46.43,-67.52,57.82,8.66
7,Buzmeyin,TM,90,1553652000,100,38.05,58.21,46.4,2.24
8,Kavieng,PG,32,1553654167,100,-2.57,150.8,83.29,6.98
9,Castro,CL,0,1553652000,76,-42.48,-73.76,51.8,5.82
10,Fortuna,ES,0,1553654134,57,38.18,-1.13,57.2,6.93
11,Pevek,RU,92,1553654066,82,69.7,170.27,26.68,3.18
12,Ushuaia,AR,75,1553652000,81,-54.81,-68.31,50,16.26
13,Batticaloa,LK,0,1553654167,95,7.71,81.69,82.3,1.95
14,Mataura,NZ,68,1553653808,60,-46.19,168.86,57.99,18.01
15,Byron Bay,AU,90,1553653816,88,-28.65,153.62,70,6.93
16,Bluff,AU,92,1553653978,46,-23.58,149.07,88.06,9.22
17,Punta Arenas,CL,40,1553653946,66,-53.16,-70.91,51.8,21.92
18,Ibotirama,BR,92,1553654168,100,-12.18,-43.22,68.35,3.51
21,Bethel,US,75,1553652300,86,60.79,-161.76,39.2,14.99
22,Ust-Kulom,RU,36,1553654168,86,61.69,53.69,28.75,5.19
23,Jumla,NP,0,1553654168,54,29.28,82.18,33.07,1.72
24,Los Llanos de Aridane,ES,56,1553654163,72,28.66,-17.92,62.6,6.93
25,Thompson,CA,90,1553652000,74,55.74,-97.86,37.4,5.82
26,Tequixquiac,MX,5,1553653941,20,19.91,-99.15,64.4,13.87
28,Haradok,BY,0,1553654169,78,55.46,29.99,23.35,8.21
29,Avera,US,75,1553653861,76,33.19,-82.53,55.99,6.93
30,Lebu,ET,20,1553652000,67,8.96,38.73,59,5.82
32,San Patricio,PY,92,1553654059,53,-26.98,-56.83,68.35,5.86
34,Cape Town,ZA,0,1553653990,87,-33.93,18.42,68,1.12
35,Tiznit,MA,68,1553653992,98,29.7,-9.73,58.72,0.72
36,El Dorado,VE,56,1553654170,45,6.71,-61.64,85.09,4.52
37,Port Alfred,ZA,12,1553654039,96,-33.59,26.89,64.84,10
38,Mikhaylovka,RU,0,1553654171,54,52.96,103.29,30.28,3.62
39,Rikitea,PF,32,1553654171,96,-23.12,-134.97,80.32,14.25
40,Hithadhoo,MV,36,1553654078,100,-0.6,73.08,82.39,4.07
41,Jamestown,AU,0,1553654032,78,-33.21,138.6,65.92,7.31
